epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.366,1.82366,1.7407,1.14654,0.69211,0.65002,0.69,0.35468,1.63019,2.3602,1.05997,0.000665527,0.000665527,0.000665527
2,299.575,1.65793,1.20234,1.0786,0.71009,0.70189,0.75083,0.41036,1.73015,2.52328,1.05575,0.00126625,0.00126625,0.00126625
3,443.328,1.63647,1.14575,1.07404,0.72019,0.70528,0.74336,0.39621,1.68619,3.403,1.05794,0.00180097,0.00180097,0.00180097
4,587.829,1.60594,1.10213,1.06969,0.72997,0.72333,0.76674,0.44442,1.53207,7.86062,1.0088,0.001703,0.001703,0.001703
5,729.771,1.54247,1.0273,1.03958,0.73663,0.76331,0.79217,0.44466,1.49886,1.81556,0.98362,0.001604,0.001604,0.001604
6,875.951,1.51736,1.00529,1.03424,0.73758,0.7575,0.79536,0.4525,1.38652,1.98887,0.95857,0.001505,0.001505,0.001505
7,1021.54,1.49742,0.9783,1.02755,0.74171,0.77605,0.80279,0.47617,1.34493,1.56279,0.95729,0.001406,0.001406,0.001406
8,1168.02,1.48206,0.9615,1.02077,0.75934,0.76932,0.80936,0.48274,1.41002,1.9254,0.97695,0.001307,0.001307,0.001307
9,1317.05,1.45284,0.93207,1.01293,0.7682,0.75982,0.81569,0.48516,1.48066,1.63233,0.97983,0.001208,0.001208,0.001208
10,1463.14,1.42849,0.91094,1.00414,0.77318,0.76835,0.82016,0.49583,1.37726,1.80874,0.952,0.001109,0.001109,0.001109
11,1607.05,1.39561,0.9005,1.01332,0.75787,0.77945,0.81628,0.50068,1.29642,1.51124,0.93545,0.00101,0.00101,0.00101
12,1750.73,1.37552,0.8746,1.01093,0.77562,0.76927,0.82163,0.5103,1.36898,1.32766,0.95714,0.000911,0.000911,0.000911
13,1894.45,1.37008,0.86005,1.00522,0.7677,0.79133,0.83008,0.51295,1.3374,1.46032,0.93815,0.000812,0.000812,0.000812
14,2037.81,1.35275,0.84507,1.0004,0.7582,0.7809,0.81853,0.49762,1.36058,1.1486,0.9504,0.000713,0.000713,0.000713
15,2180.08,1.3272,0.81893,0.99299,0.77598,0.79205,0.83381,0.52582,1.24969,1.11857,0.92118,0.000614,0.000614,0.000614
16,2323.73,1.32003,0.80191,0.9906,0.77501,0.79302,0.83294,0.52101,1.24223,1.29784,0.92159,0.000515,0.000515,0.000515
17,2468.62,1.29581,0.78246,0.98404,0.77322,0.79496,0.84248,0.53275,1.22259,1.29283,0.91445,0.000416,0.000416,0.000416
18,2611.17,1.28684,0.76935,0.97434,0.77514,0.80078,0.8373,0.52288,1.25315,1.47614,0.91996,0.000317,0.000317,0.000317
19,2754.63,1.27311,0.75001,0.97156,0.7816,0.79105,0.83511,0.52779,1.24478,1.42275,0.91267,0.000218,0.000218,0.000218
20,2896.38,1.25457,0.73074,0.96803,0.78463,0.79466,0.83844,0.53421,1.25219,1.34216,0.91692,0.000119,0.000119,0.000119
